Model,RMSE mean CV,RMSE std CV,MAE mean CV,R2 mean CV,Test RMSE,Test MAE,Test R2
Random Forest,0.0044,0.0009,0.0024,0.9818,0.0033,0.0021,0.9898
XGBoost,0.0050,0.0013,0.0026,0.9756,0.0033,0.0021,0.9900
LightGBM,0.0049,0.0012,0.0026,0.9768,0.0033,0.0022,0.9899
Decision Tree,0.0053,0.0015,0.0026,0.9721,0.0033,0.0020,0.9896
Ensemble,0.0046,0.0011,0.0026,0.9796,0.0033,0.0021,0.9900
CatBoost,0.0046,0.0008,0.0027,0.9804,0.0034,0.0023,0.9892
KNN,0.0062,0.0018,0.0035,0.9617,0.0050,0.0030,0.9769
Linear Regression,0.0166,0.0038,0.0112,0.7458,0.0156,0.0114,0.7697
Ridge Regression,0.0166,0.0038,0.0112,0.7459,0.0156,0.0114,0.7699
SVM (RBF),0.0283,0.0006,0.0242,0.2790,0.0270,0.0227,0.3103
Elastic Net,0.0341,0.0012,0.0273,-0.0450,0.0326,0.0252,-0.0041
